epoch,train_loss,val_loss,val_acc,learning_rate
1,5.7525758175104595,3.541598760777433,0.38524413852441386,8e-05
2,2.7975813172035067,2.0992439958582874,0.6090198609019861,7.11111111111111e-05
3,1.4665923401983008,1.5247126880589554,0.7203699720369972,6.222222222222223e-05
4,0.7245136630496024,1.2826234658007947,0.7706316770631677,5.333333333333333e-05
5,0.34998209331466257,1.1690943888608083,0.799060729906073,4.444444444444445e-05
6,0.1843494106616277,1.124794941827246,0.8123610812361082,3.555555555555555e-05
7,0.10332386560242152,1.084692448470037,0.8222198322219832,2.6666666666666667e-05
8,0.06043203363386253,1.029856241549839,0.8323295332329533,1.7777777777777777e-05
9,0.036472544998713594,0.972793139724356,0.8405391840539184,8.888888888888888e-06
10,0.02415802386470093,0.9512843950431409,0.8439807843980784,0.0
