epoch,train_loss,val_loss,val_acc,learning_rate
1,5.429086428101664,3.5329167515039446,0.32405956112852663,5e-05
2,2.288314869791541,1.7293801322579383,0.649294670846395,4.4444444444444447e-05
3,0.7085810825794845,1.4344053524546325,0.7108150470219435,3.888888888888889e-05
4,0.15038291545971197,1.4076215391978621,0.7343260188087775,3.3333333333333335e-05
5,0.016525864247023906,1.3200420984532684,0.7496081504702194,2.777777777777778e-05
6,0.0030860648290388635,1.249966096947901,0.7570532915360502,2.2222222222222223e-05
7,0.0009960679385239983,1.2462458865251391,0.7601880877742947,1.6666666666666667e-05
8,0.000731915935426724,1.2391913049388676,0.7597962382445141,1.1111111111111112e-05
9,0.0006189333816964071,1.2357223109109328,0.762539184952978,5.555555555555556e-06
10,0.0005591247540118037,1.2343725943705066,0.7629310344827587,0.0
