epoch,train_loss,val_loss,val_acc,learning_rate
1,5.5562540930455215,4.310629385765817,0.164576802507837,8e-05
2,3.6996136810460714,2.5672531000872763,0.4635579937304075,7.11111111111111e-05
3,2.233528040575945,1.7886496504365836,0.6163793103448276,6.222222222222223e-05
4,1.3391828171110578,1.4735025387596001,0.6861285266457681,5.333333333333333e-05
5,0.8000149713485222,1.3640438800087917,0.7119905956112853,4.444444444444445e-05
6,0.463154878447506,1.2398941412649838,0.7496081504702194,3.555555555555555e-05
7,0.2628381942820984,1.198546617680162,0.7609717868338558,2.6666666666666667e-05
8,0.16819594702218083,1.1560862842629018,0.7797805642633229,1.7777777777777777e-05
9,0.1205942198010671,1.1251740854986736,0.7770376175548589,8.888888888888888e-06
10,0.08819159718604028,1.1042031808931463,0.7817398119122257,0.0
